Block_ID,HDFS_BW,HDFSTranmissionTime,Mapper_ID,Mapper_VM_MIPS,MapExecutionTime ,MapperBW,MapperTransmissionTime,Reducer_ID,Reducer_VM_MIPS,ReducerExecutionTime ,ReducerBW,ReducerTransmissionTime,Block_ID,Block_BW,BlockTransmissionTime,TransactionTime
HDFS_Block_215,11.81,80.63,mapper214,660695,785.67,27.27,2.73,reducer0,341739,480,3.8,250.14,reducer0_Block_1,0,0,1599.17
HDFS_Block_215,11.81,80.63,mapper214,660695,785.67,27.27,2.73,reducer1,150000,120,50,18.99,reducer1_Block_1,50,20,1028.02
HDFS_Block_215,11.81,80.63,mapper214,660695,785.67,2.39,30.95,reducer2,382530,480,4.48,212.22,reducer2_Block_1,3.7,270.02,1859.49
HDFS_Block_215,11.81,80.63,mapper214,660695,785.67,2.39,30.95,reducer3,150000,120,5.88,161.57,reducer3_Block_1,3.7,270.02,1448.84
HDFS_Block_215,11.81,80.63,mapper214,660695,785.67,2.39,30.95,reducer4,457419,480,5.88,161.53,reducer4_Block_1,3.7,270.02,1808.8
HDFS_Block_215,11.81,80.63,mapper214,660695,785.67,2.39,30.95,reducer5,150000,120,6.98,136.24,reducer5_Block_1,3.7,270.02,1423.51
HDFS_Block_215,11.81,80.63,mapper214,660695,785.67,2.39,30.95,reducer6,563904,480,3.8,250.14,reducer6_Block_1,3.7,270.02,1897.41
HDFS_Block_215,11.81,80.63,mapper214,660695,785.67,2.39,30.95,reducer7,150000,120,150,6.33,reducer7_Block_1,3.7,270.02,1293.6
HDFS_Block_215,11.81,80.63,mapper214,660695,785.67,2.39,30.95,reducer8,430890,480,3.8,250.14,reducer8_Block_1,3.7,270.02,1897.41
HDFS_Block_215,11.81,80.63,mapper214,660695,785.67,2.39,30.95,reducer9,150000,120,150,6.33,reducer9_Block_1,3.7,270.02,1293.6
HDFS_Block_126,11.81,80.63,mapper125,664367,794.53,27.27,2.72,reducer0,341739,480,3.8,250.14,reducer0_Block_1,0,0,1608.02
HDFS_Block_126,11.81,80.63,mapper125,664367,794.53,27.27,2.72,reducer1,150000,120,50,18.99,reducer1_Block_1,50,20,1036.87
HDFS_Block_126,11.81,80.63,mapper125,664367,794.53,2.33,33.3,reducer2,382530,480,4.48,212.22,reducer2_Block_1,3.7,270.02,1870.7
HDFS_Block_126,11.81,80.63,mapper125,664367,794.53,2.33,33.3,reducer3,150000,120,5.88,161.57,reducer3_Block_1,3.7,270.02,1460.05
HDFS_Block_126,11.81,80.63,mapper125,664367,794.53,2.31,33.3,reducer4,457419,480,5.88,161.53,reducer4_Block_1,3.7,270.02,1820.01
HDFS_Block_126,11.81,80.63,mapper125,664367,794.53,2.31,33.3,reducer5,150000,120,6.98,136.24,reducer5_Block_1,3.7,270.02,1434.72
HDFS_Block_126,11.81,80.63,mapper125,664367,794.53,2.31,33.3,reducer6,563904,480,3.8,250.14,reducer6_Block_1,3.7,270.02,1908.62
HDFS_Block_126,11.81,80.63,mapper125,664367,794.53,2.31,33.3,reducer7,150000,120,150,6.33,reducer7_Block_1,3.7,270.02,1304.81
HDFS_Block_126,11.81,80.63,mapper125,664367,794.53,2.31,33.3,reducer8,430890,480,3.8,250.14,reducer8_Block_1,3.7,270.02,1908.62
HDFS_Block_126,11.81,80.63,mapper125,664367,794.53,2.31,33.3,reducer9,150000,120,150,6.33,reducer9_Block_1,3.7,270.02,1304.81
HDFS_Block_34,2.68,355.03,mapper33,664703,795.29,2.27,33.54,reducer0,341739,480,3.8,250.14,reducer0_Block_1,0,0,1914
HDFS_Block_34,2.68,355.03,mapper33,664703,795.29,2.27,33.54,reducer1,150000,120,50,18.99,reducer1_Block_1,50,20,1342.85
HDFS_Block_34,2.68,355.03,mapper33,664703,795.29,2.37,33.04,reducer2,382530,480,4.48,212.22,reducer2_Block_1,3.7,270.02,2145.6
HDFS_Block_34,2.68,355.03,mapper33,664703,795.29,2.37,33.04,reducer3,150000,120,5.88,161.57,reducer3_Block_1,3.7,270.02,1734.95
HDFS_Block_34,2.68,355.03,mapper33,664703,795.29,5.83,12.65,reducer4,457419,480,5.88,161.53,reducer4_Block_1,3.7,270.02,2074.52
HDFS_Block_34,2.68,355.03,mapper33,664703,795.29,27.27,2.73,reducer5,150000,120,6.98,136.24,reducer5_Block_1,3.7,270.02,1679.31
HDFS_Block_34,2.68,355.03,mapper33,664703,795.29,3.9,18.94,reducer6,563904,480,3.8,250.14,reducer6_Block_1,3.7,270.02,2169.42
HDFS_Block_34,2.68,355.03,mapper33,664703,795.29,3.9,18.94,reducer7,150000,120,150,6.33,reducer7_Block_1,3.7,270.02,1565.61
HDFS_Block_34,2.68,355.03,mapper33,664703,795.29,3.05,25.32,reducer8,430890,480,3.8,250.14,reducer8_Block_1,3.7,270.02,2175.8
HDFS_Block_34,2.68,355.03,mapper33,664703,795.29,3.05,25.32,reducer9,150000,120,150,6.33,reducer9_Block_1,3.7,270.02,1571.99
HDFS_Block_156,2.68,355.03,mapper155,665555,797.33,2.34,34.46,reducer0,341739,480,3.8,250.14,reducer0_Block_1,0,0,1916.96
HDFS_Block_156,2.68,355.03,mapper155,665555,797.33,2.34,34.46,reducer1,150000,120,50,18.99,reducer1_Block_1,50,20,1345.81
HDFS_Block_156,2.68,355.03,mapper155,665555,797.33,4.71,16.45,reducer2,382530,480,4.48,212.22,reducer2_Block_1,3.7,270.02,2131.05
HDFS_Block_156,2.68,355.03,mapper155,665555,797.33,26.14,2.84,reducer3,150000,120,5.88,161.57,reducer3_Block_1,3.7,270.02,1706.79
HDFS_Block_156,2.68,355.03,mapper155,665555,797.33,2.37,33.98,reducer4,457419,480,5.88,161.53,reducer4_Block_1,3.7,270.02,2097.89
HDFS_Block_156,2.68,355.03,mapper155,665555,797.33,2.37,33.98,reducer5,150000,120,6.98,136.24,reducer5_Block_1,3.7,270.02,1712.6
HDFS_Block_156,2.68,355.03,mapper155,665555,797.33,2.37,33.98,reducer6,563904,480,3.8,250.14,reducer6_Block_1,3.7,270.02,2186.5
HDFS_Block_156,2.68,355.03,mapper155,665555,797.33,2.37,33.98,reducer7,150000,120,150,6.33,reducer7_Block_1,3.7,270.02,1582.69
HDFS_Block_156,2.68,355.03,mapper155,665555,797.33,2.37,33.98,reducer8,430890,480,3.8,250.14,reducer8_Block_1,3.7,270.02,2186.5
HDFS_Block_156,2.68,355.03,mapper155,665555,797.33,2.37,33.98,reducer9,150000,120,150,6.33,reducer9_Block_1,3.7,270.02,1582.69
